country,state,city,region
United States,Florida,Lakeland,South
United States,Alabama,Montgomery,South
United States,Arizona,Mesa,West
United States,Wisconsin,Green Bay,Central
United States,Ohio,Springfield,East
United States,California,Anaheim,West
United States,Washington,Marysville,West
United States,Oregon,Salem,West
United States,Texas,Laredo,Central
United States,Ohio,Grove City,East
United States,Michigan,Dearborn,Central
United States,Georgia,Warner Robins,South
United States,California,Vallejo,West
United States,California,Mission Viejo,West
United States,Michigan,Rochester Hills,Central
United States,New Jersey,Plainfield,East
United States,Arizona,Sierra Vista,West
United States,Washington,Vancouver,West
United States,Illinois,Aurora,Central
United States,Texas,Arlington,Central
United States,Kentucky,Louisville,South
United States,Ohio,Cleveland,East
United States,Texas,Tyler,Central
United States,North Carolina,Burlington,South
United States,Virginia,Waynesboro,South
United States,Pennsylvania,Chester,East
United States,North Carolina,Cary,South
United States,Florida,Palm Coast,South
United States,New York,Mount Vernon,East
United States,Florida,Hialeah,South
United States,New York,Oceanside,East
United States,Illinois,Evanston,Central
United States,Michigan,Trenton,Central
United States,Minnesota,Cottage Grove,Central
United States,Louisiana,Bossier City,South
United States,Iowa,Des Moines,Central
United States,California,Lancaster,West
United States,Virginia,Richmond,South
United States,North Carolina,Asheville,South
United States,California,Lake Elsinore,West
United States,Nebraska,Omaha,Central
United States,Washington,Edmonds,West
United States,California,Santa Ana,West
United States,Wisconsin,Milwaukee,Central
United States,Kentucky,Florence,South
United States,Ohio,Lorain,East
United States,New Jersey,Linden,East
United States,California,Salinas,West
United States,New Jersey,New Brunswick,East
United States,Pennsylvania,Lancaster,East
United States,New Hampshire,Concord,East
United States,Maryland,Columbia,East
United States,Texas,Garland,Central
United States,Connecticut,Norwich,East
United States,Virginia,Alexandria,South
United States,Ohio,Toledo,East
United States,New Mexico,Farmington,West
United States,California,Riverside,West
United States,California,Torrance,West
United States,Texas,Round Rock,Central
United States,California,Oceanside,West
United States,Florida,Boca Raton,South
United States,Virginia,Virginia Beach,South
United States,California,Murrieta,West
United States,North Carolina,Jacksonville,South
United States,Iowa,Burlington,Central
United States,Washington,Olympia,West
United States,District of Columbia,Washington,East
United States,Missouri,Jefferson City,Central
United States,Missouri,Saint Peters,Central
United States,Illinois,Rockford,Central
United States,Texas,Brownsville,Central
United States,New York,Yonkers,East
United States,California,Oakland,West
United States,North Carolina,Monroe,South
United States,Maryland,Clinton,East
United States,California,Encinitas,West
United States,Georgia,Roswell,South
United States,Arkansas,Jonesboro,South
United States,Indiana,Richmond,Central
United States,California,Antioch,West
United States,Florida,Homestead,South
United States,Indiana,La Porte,Central
United States,Michigan,Lansing,Central
United States,Ohio,Cuyahoga Falls,East
United States,Nevada,Reno,West
United States,Virginia,Harrisonburg,South
United States,California,Escondido,West
United States,Michigan,Royal Oak,Central
United States,Maryland,Rockville,East
United States,Florida,Coral Springs,South
United States,New York,Buffalo,East
United States,Florida,Boynton Beach,South
United States,Mississippi,Gulfport,South
United States,California,Fresno,West
United States,North Carolina,Greenville,South
United States,New York,Long Beach,East
United States,Alabama,Florence,South
United States,Georgia,Macon,South
United States,Iowa,Cedar Rapids,Central
United States,Rhode Island,Providence,East
United States,Colorado,Pueblo,West
United States,California,Fairfield,West
United States,Florida,Deltona,South
United States,Kentucky,Murray,South
United States,Connecticut,Middletown,East
United States,New York,Freeport,East
United States,California,Pico Rivera,West
United States,Utah,Provo,West
United States,Utah,Pleasant Grove,West
United States,Georgia,Smyrna,South
United States,Virginia,Salem,South
United States,Ohio,Parma,East
United States,Alabama,Mobile,South
United States,Massachusetts,New Bedford,East
United States,Texas,Irving,Central
United States,New Jersey,Vineland,East
United States,Arizona,Glendale,West
United States,New York,Niagara Falls,East
United States,North Carolina,Thomasville,South
United States,California,Westminster,West
United States,Tennessee,Jackson,South
United States,Texas,Coppell,Central
United States,California,Pomona,West
United States,Nevada,North Las Vegas,West
United States,Pennsylvania,Allentown,East
United States,Delaware,Newark,East
United States,Arizona,Tempe,West
United States,California,Laguna Niguel,West
United States,New Jersey,Bridgeton,East
United States,Massachusetts,Everett,East
United States,New York,Watertown,East
United States,Wisconsin,Appleton,Central
United States,Washington,Bellevue,West
United States,Texas,Allen,Central
United States,Texas,El Paso,Central
United States,Texas,Grapevine,Central
United States,Texas,Carrollton,Central
United States,Tennessee,Smyrna,South
United States,Washington,Kent,West
United States,Louisiana,Lafayette,South
United States,Oregon,Tigard,West
United States,Illinois,Skokie,Central
United States,Texas,Plano,Central
United States,Virginia,Suffolk,South
United States,Indiana,Indianapolis,Central
United States,New Jersey,Bayonne,East
United States,North Carolina,Fayetteville,South
United States,North Carolina,Greensboro,South
United States,Maryland,Baltimore,East
United States,Wisconsin,Kenosha,Central
United States,Kansas,Olathe,Central
United States,Washington,Auburn,West
United States,Oklahoma,Tulsa,Central
United States,Oregon,Redmond,West
United States,North Carolina,Raleigh,South
United States,Oklahoma,Muskogee,Central
United States,Connecticut,Meriden,East
United States,Kentucky,Bowling Green,South
United States,Indiana,South Bend,Central
United States,Connecticut,Bristol,East
United States,Nevada,Henderson,West
United States,Washington,Spokane,West
United States,Texas,Keller,Central
United States,Ohio,Fairfield,East
United States,Florida,Port Orange,South
United States,Oregon,Medford,West
United States,Virginia,Charlottesville,South
United States,Montana,Missoula,West
United States,South Carolina,Florence,South
United States,Oregon,Springfield,West
United States,Florida,Apopka,South
United States,Pennsylvania,Reading,East
United States,Colorado,Broomfield,West
United States,Missouri,Springfield,Central
United States,New Jersey,Paterson,East
United States,Oklahoma,Oklahoma City,Central
United States,Virginia,Chesapeake,South
United States,Texas,Lubbock,Central
United States,Missouri,Columbia,Central
United States,Tennessee,Johnson City,South
United States,Alabama,Auburn,South
United States,California,San Bernardino,West
United States,Massachusetts,Leominster,East
United States,Montana,Bozeman,West
United States,Arizona,Peoria,West
United States,Ohio,Lakewood,East
United States,New Jersey,Perth Amboy,East
United States,California,Ontario,West
United States,California,Rancho Cucamonga,West
United States,Minnesota,Moorhead,Central
United States,Texas,Mesquite,Central
United States,California,Stockton,West
United States,Florida,Ormond Beach,South
United States,California,Sunnyvale,West
United States,New Hampshire,Dover,East
United States,Pennsylvania,York,East
United States,Texas,College Station,Central
United States,Missouri,Saint Louis,Central
United States,Massachusetts,Quincy,East
United States,California,Manteca,West
United States,Ohio,Kent,East
United States,Texas,San Angelo,Central
United States,Utah,Salt Lake City,West
United States,Alabama,Huntsville,South
United States,Tennessee,Knoxville,South
United States,Arkansas,Little Rock,South
United States,Michigan,Lincoln Park,Central
United States,Ohio,Marion,East
United States,Colorado,Littleton,West
United States,Vermont,Burlington,East
United States,Maine,Bangor,East
United States,Mississippi,Southaven,South
United States,Indiana,New Castle,Central
United States,Michigan,Midland,Central
United States,South Dakota,Sioux Falls,Central
United States,Colorado,Fort Collins,West
United States,Indiana,Lafayette,Central
United States,Tennessee,Clarksville,South
United States,California,Sacramento,West
United States,California,Thousand Oaks,West
United States,Massachusetts,Malden,East
United States,Massachusetts,Holyoke,East
United States,New Mexico,Albuquerque,West
United States,Nevada,Sparks,West
United States,California,Coachella,West
United States,Illinois,Elmhurst,Central
United States,New Jersey,Passaic,East
United States,South Carolina,North Charleston,South
United States,Virginia,Newport News,South
United States,New York,Jamestown,East
United States,Indiana,Mishawaka,Central
United States,Ohio,Bowling Green,East
United States,California,La Quinta,West
United States,Florida,Tallahassee,South
United States,Tennessee,Nashville,South
United States,Washington,Bellingham,West
United States,Illinois,Woodstock,Central
United States,Texas,Haltom City,Central
United States,Illinois,Wheeling,Central
United States,South Carolina,Summerville,South
United States,Arkansas,Hot Springs,South
United States,Colorado,Englewood,West
United States,Ohio,Lancaster,East
United States,New Mexico,Las Cruces,West
United States,Alabama,Hoover,South
United States,Texas,Frisco,Central
United States,California,Vacaville,West
United States,Utah,Murray,West
United States,Wisconsin,Waukesha,Central
United States,California,Bakersfield,West
United States,Florida,Pompano Beach,South
United States,Ohio,Troy,East
United States,Texas,Corpus Christi,Central
United States,California,Redondo Beach,West
United States,Florida,Orlando,South
United States,New Jersey,Orange,East
United States,Louisiana,Lake Charles,South
United States,Illinois,Highland Park,Central
United States,New York,Hempstead,East
United States,Indiana,Noblesville,Central
United States,Minnesota,Apple Valley,Central
United States,South Carolina,Mount Pleasant,South
United States,Michigan,Sterling Heights,Central
United States,Wisconsin,Eau Claire,Central
United States,Texas,Pharr,Central
United States,Montana,Billings,West
United States,Oregon,Gresham,West
United States,Tennessee,Chattanooga,South
United States,Idaho,Meridian,West
United States,California,Apple Valley,West
United States,Illinois,Bolingbrook,Central
United States,Minnesota,Maple Grove,Central
United States,California,Woodland,West
United States,Texas,Missouri City,Central
United States,Texas,Pearland,Central
United States,California,San Mateo,West
United States,Michigan,Grand Rapids,Central
United States,California,Visalia,West
United States,Kansas,Overland Park,Central
United States,California,Temecula,West
United States,California,Yucaipa,West
United States,Massachusetts,Revere,East
United States,Texas,Conroe,Central
United States,Illinois,Tinley Park,Central
United States,Iowa,Dubuque,Central
United States,Michigan,Dearborn Heights,Central
United States,New Mexico,Santa Fe,West
United States,North Carolina,Hickory,South
United States,Illinois,Carol Stream,Central
United States,Minnesota,Saint Cloud,Central
United States,Florida,North Miami,South
United States,Indiana,Lawrence,Central
United States,Florida,Plantation,South
United States,Florida,Port Saint Lucie,South
United States,South Carolina,Rock Hill,South
United States,Texas,Odessa,Central
United States,Wisconsin,West Allis,Central
United States,California,Chula Vista,West
United States,Kansas,Manhattan,Central
United States,Pennsylvania,Altoona,East
United States,Colorado,Thornton,West
United States,Illinois,Champaign,Central
United States,Indiana,Bloomington,Central
United States,Arkansas,Texarkana,South
United States,Texas,Edinburg,Central
United States,Texas,Baytown,Central
United States,Indiana,Greenwood,Central
United States,California,Lakewood,West
United States,Rhode Island,Woonsocket,East
United States,Wisconsin,Superior,Central
United States,Texas,Bedford,Central
United States,Washington,Covington,West
United States,Oklahoma,Broken Arrow,Central
United States,Florida,Miramar,South
United States,Florida,Hollywood,South
United States,Texas,Deer Park,Central
United States,Kansas,Wichita,Central
United States,Texas,Mcallen,Central
United States,Iowa,Iowa City,Central
United States,Idaho,Boise,West
United States,Rhode Island,Cranston,East
United States,Illinois,Freeport,Central
United States,Texas,Port Arthur,Central
United States,California,Citrus Heights,West
United States,Texas,The Colony,Central
United States,Washington,Redmond,West
United States,Florida,Daytona Beach,South
United States,Arizona,Bullhead City,West
United States,Indiana,Portage,Central
United States,North Dakota,Fargo,Central
United States,Indiana,Elkhart,Central
United States,California,San Gabriel,West
United States,Florida,Margate,South
United States,Georgia,Sandy Springs,South
United States,Ohio,Mentor,East
United States,Oklahoma,Lawton,Central
United States,Virginia,Hampton,South
United States,New York,Rome,East
United States,Wisconsin,La Crosse,Central
United States,Idaho,Lewiston,West
United States,Mississippi,Hattiesburg,South
United States,California,Danville,West
United States,Michigan,Mount Pleasant,Central
United States,Utah,Logan,West
United States,Connecticut,Waterbury,East
United States,Georgia,Athens,South
United States,Maine,Lewiston,East
United States,Illinois,Danville,Central
United States,Arizona,Avondale,West
United States,Georgia,Marietta,South
United States,Arizona,Yuma,West
United States,Wisconsin,Wausau,Central
United States,Washington,Pasco,West
United States,Illinois,Oak Park,Central
United States,Florida,Pensacola,South
United States,Texas,League City,Central
United States,Maryland,Gaithersburg,East
United States,Utah,Lehi,West
United States,Alabama,Tuscaloosa,South
United States,California,Moreno Valley,West
United States,Kentucky,Georgetown,South
United States,Colorado,Loveland,West
United States,Arizona,Chandler,West
United States,Montana,Helena,West
United States,Missouri,Kirkwood,Central
United States,Texas,Waco,Central
United States,Michigan,Roseville,Central
United States,Illinois,Frankfort,Central
United States,Pennsylvania,Bethlehem,East
United States,Minnesota,Roseville,Central
United States,Nebraska,Grand Island,Central
United States,Minnesota,Woodbury,Central
United States,Michigan,Oak Park,Central
United States,Arkansas,Rogers,South
United States,New Mexico,Clovis,West
United States,Florida,Jupiter,South
United States,California,Santa Barbara,West
United States,Texas,Cedar Hill,Central
United States,Nebraska,Norfolk,Central
United States,Utah,Draper,West
United States,Michigan,Ann Arbor,Central
United States,California,La Mesa,West
United States,Idaho,Pocatello,West
United States,Michigan,Holland,Central
United States,Connecticut,Milford,East
United States,Illinois,Buffalo Grove,Central
United States,California,Lake Forest,West
United States,California,Redding,West
United States,California,Chico,West
United States,New York,Utica,East
United States,Arkansas,Conway,South
United States,Wyoming,Cheyenne,West
United States,Kentucky,Owensboro,South
United States,Idaho,Caldwell,West
United States,Louisiana,Kenner,South
United States,New Hampshire,Nashua,East
United States,Tennessee,Bartlett,South
United States,California,Redwood City,West
United States,Tennessee,Lebanon,South
United States,California,Santa Maria,West
United States,Illinois,Des Plaines,Central
United States,Washington,Longview,West
United States,Tennessee,Hendersonville,South
United States,Iowa,Waterloo,Central
United States,Massachusetts,Cambridge,East
United States,Illinois,Palatine,Central
United States,Massachusetts,Beverly,East
United States,Oregon,Eugene,West
United States,California,Oxnard,West
United States,Washington,Renton,West
United States,Illinois,Glenview,Central
United States,Florida,Delray Beach,South
United States,Colorado,Commerce City,West
United States,Texas,Texas City,Central
United States,North Carolina,Wilson,South
United States,New Mexico,Rio Rancho,West
United States,North Carolina,Goldsboro,South
United States,Washington,Everett,West
United States,California,Montebello,West
United States,California,El Cajon,West
United States,Texas,Beaumont,Central
United States,Florida,West Palm Beach,South
United States,Texas,Abilene,Central
United States,Illinois,Normal,Central
United States,Missouri,Saint Charles,Central
United States,Illinois,Saint Charles,Central
United States,California,Camarillo,West
United States,Oregon,Hillsboro,West
United States,California,Burbank,West
United States,California,Modesto,West
United States,Kansas,Garden City,Central
United States,New Jersey,Atlantic City,East
United States,Colorado,Longmont,West
United States,California,Davis,West
United States,West Virginia,Wheeling,East
United States,California,Morgan Hill,West
United States,New Jersey,Clifton,East
United States,Wisconsin,Sheboygan,Central
United States,Georgia,East Point,South
United States,South Dakota,Rapid City,Central
United States,Massachusetts,Andover,East
United States,Florida,Kissimmee,South
United States,Connecticut,Shelton,East
United States,Connecticut,Danbury,East
United States,Iowa,Marion,Central
United States,Florida,Sanford,South
United States,Texas,San Marcos,Central
United States,Colorado,Greeley,West
United States,Texas,Mansfield,Central
United States,Ohio,Elyria,East
United States,Idaho,Twin Falls,West
United States,Florida,Coral Gables,South
United States,Illinois,Romeoville,Central
United States,Massachusetts,Marlborough,East
United States,Maryland,Laurel,East
United States,Texas,Bryan,Central
United States,Arkansas,Pine Bluff,South
United States,South Dakota,Aberdeen,Central
United States,Maryland,Hagerstown,East
United States,New Jersey,East Orange,East
United States,Illinois,Arlington Heights,Central
United States,Illinois,Oswego,Central
United States,Minnesota,Coon Rapids,Central
United States,California,San Clemente,West
United States,California,Dublin,West
United States,California,San Luis Obispo,West
United States,Arkansas,Springdale,South
